@relation train_teg

@attribute titulo string
@attribute resumen string
@attribute palabras_clave string
@attribute _mencion_ {'aplicaciones en internet','tecnologías de comunicación y redes de computadoras','base de datos','inteligencia artificial','sistemas de información'}

@data
'desarrollo de una herramienta para el monitoreo de eventos y actividades de usuarios en aplicaciones web.','la finalidad del presente trabajo especial de grado consiste en el desarrollo de una herramienta con la capacidad de: realizar el monitoreo de eventos y acciones de usuarios, durante su interacción con aplicaciones y sitios web, y generar información que pueda ser utilizada posteriormente, con múltiples propósitos. para ello, se aplicó una adaptación del modelo de desarrollo en cascada, bajo una metodología ad hoc, la cual se realizó en cinco fases: descripción de requerimientos, análisis, diseño, implementación y, finalmente, la fase de pruebas de la herramienta desarrollada. como resultado final se obtuvo una herramienta de fácil integración, con la capacidad de realizar el proceso de grabación de eventos y acciones relevantes de los usuarios, llevar a cabo reproducciones automáticas de dichas grabaciones y generar reportes con información de utilidad acerca de las actividades registradas por los usuarios de cualquier aplicación web.','monitoreo de usuarios, reproducción automática, eventos, grabación, javascript, page tagging, document object model (dom).','aplicaciones en internet'
'implementación del protocolo secure neighbor discovery (send).','el protocolo ipv6 define la interacción entre los nodos que residen en un mismo enlace a través del proceso de descubrimiento de vecinos (neighbor discovery). los mensajes intercambiados durante este descubrimiento incluyen información importante acerca de la red y pueden dar lugar a diversos ataques que comprometen el correcto funcionamiento de los nodos del enlace. en este trabajo especial de grado se desarrolló una aplicación que permite asegurar los mensajes enviados por los nodos durante el proceso de descubrimiento de vecinos al utilizar el protocolo send. además, se desarrolló una herramienta que permite generar y verificar direcciones cga (cryptographicall y generated addresses).el trabajo se realizó en base a las teorías sobre los protocolos y mecanismos de seguridad que garantizan la protección de los mensajes de neighbor discovery. durante la implementación de la aplicación, se utilizó la metodología de desarrollo de software llamada enfoque en cascada que contempla las fases de: análisis, desarrollo, implementación y pruebas necesarias para comprobar el funcionamientode la aplicación send desarrollada. es de hacer notar que el alcance de esta implementación de send sólo abarcó el intercambio de mensajes entre los hosts del enlace, es decir que no involucra el descubrimiento de los routers que puedan estar presentes. sin embargo, podrá servir como referente teórico a futuros trabajos en el área, en la cual puedan incluir el proceso de router discovery y otras funcionalidades que vayan surgiendo. como producto final se incluyeron el código fuente, la documentación de la aplicación y el manual de usuario, necesarios para comprender el correcto funcionamiento de la aplicación send, así como un virtual appliance que facilita la ejecución de pruebas para un posterior análisis.','ipv6, neighbor discovery, criptografía, firma digital, seguridad, cga.','tecnologías de comunicación y redes de computadoras'
'sistema de información para la planificación de proyectos.','este trabajo especial de grado contempla el desarrollo de un sistema de información para la planificación de proyectos siguiendo el estándar de la guía del pmbok (projectmanagemet body of knowledge, guía de fundamentos de la dirección de proyectos). para llevar a cabo este desarrollo se utilizó el método de investigación de proyecto factible, el cual, en una de sus etapas, permite analizar y seleccionar las herramientas que se encuentran en el área de conocimiento de alcance de la guía del pmbok. el método dedesarrollo utilizado consiste en entrega por etapas, el cual facilita el análisis, diseño e implementación del sistema propuesto. se propuso un método de programación que consiste en un estándar para organizar la estructura del código del sistema. se analizan las herramientas y técnicas correspondientes al área de alcance para seleccionar aquellas que se implementarán en el sistema mencionado. una vez seleccionadas se lleva a cabo la implementación de las mismas y las pruebas necesarias para comprobar su correcto funcionamiento.','pmbok (project managemet body of knowledge, guía de fundamentos de la dirección de proyectos).','base de datos'
'sistema de autenticación sigilosa con terminal de administración.','el propósito de este trabajo es implementar un sistema de autenticación sigilosa basándose en la premisa de seguridad en profundidad (también conocidacomo seguridad en capas). dicha solución se basará en agregar una capa de autenticación sigilosa a los esquemas existentes, ya que de esta manera se puede reducir drásticamente los riesgos a los cuales están expuestos los servidores.','seguridad, capas.','tecnologías de comunicación y redes de computadoras'
'desarrollo de una herramienta para la interpretación simbólica de máquinas de soporte vectorial entrenadas.','las máquinas de soporte vectorial (svm) son sistemas de aprendizaje diseñadas sobre la teoría del aprendizaje estadístico (vapnik, 1998), las cuales han demostrado poseer una buena capacidad de generalización sobre datos reales. sin embargo, ellas generan modelos caja negra, es decir, el conocimiento que adquieren durante el aprendizaje es difícil de interpretar desde el punto de vista del usuario. en este trabajo se presenta una herramienta para la interpretación simbólica de máquinas de soporte vectorial entrenadas basada en al algoritmo trepan, el cual permite la extracción de árboles de decisión a partir de estas máquinas de aprendizaje. las pruebas realizadas muestran que los árboles de decisión generados por la herramienta, poseen un alto grado de fidelidad con el modelo aprendido por la máquina de soporte vectorial.','máquinas de soporte vectorial, extracción de reglas, árboles de decisión, trepan.','inteligencia artificial'
'herramienta para la extracción automática de características morfológicas de espermatozoides humanos a partir de imágenes.','el análisis de líquido seminal (als) o espermograma es un procedimiento diagnóstico importante para la salud ya que se constituye en un medio de evaluación de la fertilidad masculina. por otra parte, permite estimar el funcionamiento de diferentes estructuras del aparato reproductivo, lo que resulta conveniente para dar seguimiento a intervenciones médicas como la vasectomía, así como otros chequeos pre y post operatorios. en el als se realizan dos grupos de pruebas (macroscópicas y microscópicas). la evaluación morfológica es una subprueba microscópica que demanda altos costes en términos de pericia, tiempo y esfuerzo, además de ser un procedimiento vulnerable a varias fuentes de error. a partir de la vigencia, utilidad e importancia de la evaluación morfológica así como de las dificultades asociadas a este examen, el propósito de esta investigación fue construir una herramienta que apoye al experto en la prueba. para tal fin, se definió un modelo de procesamiento de imágenes digitales microscópicas del líquido seminal, que identifica y extrae las características a los espermatozoides presentes en la escena. luego del desarrollo y definición del modelo, se realizaron pruebas con una muestra de 89 imágenes tomadas en condiciones similares al ambiente de trabajo del experto. los resultados indican una tasa de error de segmentación de 7,69\% confundiendo elementos de las imágenes con espermatozoides, 6,69\% de omisiones de espermatozoides presentes y 7,53\% de error en la extracción de características producto de la identificación errónea de las estructuras del espermatozoide. el desarrollo del proyecto constituye un aporte que demuestra la factibilidad de desarrollar este tipo de tecnologías en el país. sin embargo, mostró ser una actividad compleja, que debe ser llevada a cabo con precaución, controlando las fuentes de error. requiere de creatividad e innovación así como del dominio de los aspectos técnicos relacionados a la eficiencia en la ejecución de programas en el computador.','morfología espermática, inteligencia artificial, procesamiento digital de imágenes.','inteligencia artificial'
'easy extractor: un sistema de clasificación de información de la web utilizando técnicas de extracción de datos.','la información en la web se encuentra en cambio constante y sujeta a la volatilidad de la red, por lo que una página puede existir hoy pero nomañana o encontrarla con un contenido distinto. de esta manera surge lanecesidad de extraer, almacenar y clasificar información que el usuarioconsidere importante en la web. en la actualidad existen algunasherramientas que han solucionado dicha problemática, entre las cualesmencionamos solvent y google bloc de notas. sin embargo pueden nosatisfacer las necesidades de algunos usuarios. el sistema easy extractor, se crea como una herramienta distinta queno sólo engloba funcionalidades de otras aplicaciones, sino que ofrece nuevasposibilidades a los usuarios. en el proceso de desarrollo de esta aplicación serealizó una adaptación de la metodología extreme programming (xp). dentrode las cualidades con las que cuenta este sistema son: compartir informacióncon otros usuarios, exportar la información a formato pdf para sualmacenaje local, intercambiar comentarios e ideas con otros usuarios, demarcado y almacenaje de información e imágenes para su posteriorrecuperación, entre otras.','mozilla, xul, web, aplicación, servicios web.','aplicaciones en internet'
'instanciación de una solución erp código abierto para el sector salud- ambulatorio.','en este trabajo se presenta para el sector salud ambulatorio la adaptación de un sistema enterprise resource planning (erp) porque se crea una plataforma integrada de toda la organización para coordinar los procesos internos clave de la empresa. se decidió adaptar un erp para integrar los procesos del ambulatorio en un solo sistema de software y que esa información pueda fluir a través de la organización mejorando la coordinación, eficiencia y toma de decisiones. los erp pueden ayudar a crear una organización más uniforme en la que todo el mundo utilice procesos e información similares y evalúe su trabajo en términos de estándares de desempeño de toda la organización. los erp son muy difíciles de implementar con éxito. requieren un cambio organizacional extenso, el uso de tecnologías complicadas precisa altos costos iniciales para obtener beneficios a largo plazo difíciles de cuantificar pero una vez implementados, es muy difícil cambiar los sistemas empresariales. (laudon y laudon, 2001).la digitalización de la historia clínica (hc) se ha convertido durante los últimos años en el objetivo de la mayor parte de los trabajos de la informática médica. la sustitución de la hc tradicional en soporte de papel, por una historia clínica digital (hcd), responde a las necesidades de resolver los dos problemas clásicos de los archivos de hc, como lo son en primer lugar el crecimiento continuo del volumen almacenado, que llega a crear graves problemas de espacio físico, y el inevitable trasiego de documentos originales, con riesgo de pérdida y de su deterioro, y en segundo lugar permitir la transferencia rápida de la información clínica existente de un paciente a puntos lejanos, unificando así de hecho la hc por encima de los límites de las instituciones asistenciales. además este trabajo sirve para poner a disposición de los investigadores y de los planificadores sanitarios esta información clínica, de forma fácilmente accesible y tratable.','historia clínica digital, erp (enterprise resource planning), software libre.','sistemas de información'
'diseño y desarrollo de una nueva aplicación web para la escuela de computación de la universidad central de venezuela con tecnología ruby on rails.','este trabajo de la facultad de ciencias de la universidad central de venezuela tiene como objetivo el desarrollo de una aplicación web para la escuela de computación que sirva como medio de difusión deinformación institucional, académica y de investigación, accesible y de fácil navegación, usandoestándares de diseño web actuales y que cuente con funcionalidades que faciliten la actualización de sucontenido. debido a la naturaleza de la aplicación, donde unas funcionalidades deben ser del dominiopúblico y otras sólo disponibles para usuarios autorizados, se sugierieron dos subsistemas denominados: subsistema público y subsistema administrativo. para llevar a cabo este objetivo se aplicaron herramientas y tecnologías de desarrollo web tal como rubyon rails, hojas de estilo en cascada, lenguaje extensible de marcado de hipertexto, en el caso de lasfuncionalidades se uso la metodología de desarrollo proceso unificado ágil adaptada a las necesidadesde la aplicación, y para el diseño se siguieron aquellos estándares actuales de diseño web, lineamientosde usabilidad y patrones de interacción, considerados más importantes.','ucv, escuela de computación, aplicación web, tecnologías de desarrollo web, rubyon rails, modelado ágil, metodología de desarrollo aup, estándares de diseño web, usabilidad, patrones de interacción.','aplicaciones en internet'
'reingeniería de un sistema de segunda opinión médica para el proyecto sos telemedicina para venezuela.','uno de los servicios fundamentales en telemedicina es el de segunda opinión medica. como partedel proyecto sos telemedicina ucv llevado a cabo por el centro de analisis de imagenes biomedicas computarizadas se desarrollo una aplicacion web que permite a los medicos especialistas de los postgrados de la facultad de medicina de la universidad central de venezuela atender consultas de segunda opinión medica generadas por los medicos rurales de diversas regiones del pais de esta manera se puede mejorar la prestación de servicios de salud mediante la consulta especializada remota, lo que permite abaratar costos y reducir tiempos de respuesta en casos complejos. el sistema de segunda opinión medica tiene las siguientes funcionalidades: a) captura de la historia clinica de los pacientes; b) transmisión de la información textual y multimedia para soporte de los casos (videos, imagenes y audio); c) asignación de los casos de acuerdo a la especialidad o dificultad de los mismos; d)seguimiento de los casos por parte de los medicos rurales y de los especialistas; e) intercambio de información entre medicos, y preparacion de casos para posterior publicación. el sistema esta desarrollado siguiendo una arquitectura basada en servicios (soa) y herramientas de software libre, l lo que permite la reutilización de los componentes para otras aplicaciones desarrolladas en la ucv. en la actualidad existe una prueba piloto en los centros asistenciales de juan griego, salamanca y coche, todos en el estado nueva esparta, y un centro de triaje en el instituto de medicina tropical de la ucv. el objetivo de este trabajo es presentar el diseño de la arquitectura, un prototipo funcional, y las discusiones del uso del sistema por parte de los medicos rurales.','aplicaciones web, telemedicina, segunda opinion medica.','aplicaciones en internet'
